total_mrr,churn_probability,health_score,revenue_at_risk
133298,0.987622163155308,67.35,131648.06
87957,0.985094923142264,54.65,86645.99
78588,0.9867713179982678,55.74,77548.38
75938,0.98783988603736,56.27,75014.59
71020,0.9860086565463386,49.16,70026.33
70980,0.9954833632002122,54.61,70659.41
70000,0.9865674526235306,57.94,69059.72
69230,0.9858611090282916,63.88,68251.16
68489,0.9899214704262316,68.63,67798.73
66010,0.986457910163458,57.8,65116.09
61686,0.9894118201853314,45.77,61032.86
64653,0.9735787803109832,60.59,62944.79
61935,0.9860476395219552,61.37,61070.86
60970,0.9888593157770488,63.24,60290.75
58404,0.9869271705570232,57.89,57640.49
54605,0.9859359296779192,50.14,53837.03
51680,0.9870824506252904,42.21,51012.42
52160,0.9878412498775728,49.55,51525.8
52204,0.990232681109396,53.4,51694.11
51109,0.9924207877864638,55.05,50721.63
48726,0.9892116972836362,57.2,48200.33
48761,0.9855046134932656,56.8,48054.19
48456,0.989108655862054,64.34,47928.25
48647,0.9855845406994678,64.44,47945.73
46666,0.9868300071210484,57.48,46051.41
45872,0.9856624792189316,54.18,45214.31
44564,0.9843295641394096,56.1,43865.66
44322,0.9879517363831188,57.84,43788.0
43521,0.988075678094248,52.1,43002.04
43633,0.9872721478983548,52.81,43077.65
43859,0.983918712641866,54.99,43153.69
43291,0.986851094362163,61.0,42721.77
42999,0.9919027351397012,61.93,42650.83
42096,0.9896589934324532,56.9,41660.68
42403,0.9875433818907964,62.48,41874.8
42404,0.987455773896753,64.42,41872.07
41267,0.9945484012076418,58.41,41042.03
41630,0.988240172759948,58.62,41140.44
40525,0.9929349248127356,56.13,40238.69
41116,0.9864017111080317,59.73,40556.89
40713,0.9900976612351904,58.65,40309.85
39614,0.9895755465696772,51.02,39201.05
39201,0.9892216930802948,55.69,38778.48
39120,0.9880131166069632,54.12,38651.07
38210,0.9891155763748802,51.15,37794.11
38191,0.993544916830408,64.44,37944.47
37312,0.9862330007452426,59.48,36798.33
35836,0.9883846195304612,44.34,35419.75
36755,0.987600152100652,55.54,36299.24
36456,0.9885524623692544,53.53,36038.67
37042,0.9899100784560068,66.63,36668.25
36420,0.992400230678216,60.98,36143.22
